comment,username,timestamp
"Trump Rally Shooting: A Timeline https://youtu.be/h-puuBzYoSs
Follow The Straits Times on YouTube: https://str.sg/ytsub",,9/2/2024 8:58
TRUE,@Toddscars95,9/2/2024 3:58
"I don't believe this. 
The people behind him have no looks of panic or fear at all. it seems so staged
even after the first shot and the next came in with rapid fire not one person on stage was hit ?",@AdamJames-dl4hh,9/1/2024 22:58
Who shot him,@Starlingshine,9/1/2024 21:58
This tiny female secret agent really made the difference. Her hands were ready to stop any bullet.,@mrrandom1265,9/1/2024 15:58
Your not American if this video doesn't make you tear up,@bobbymarried2024,9/1/2024 12:58
"Did he get shot, or  is that blood splatter from those who did?
No Medical Evidence Exists that Trump was actually hit. ",@SmellySumtom,9/1/2024 11:58
Nice try dems. Sorry Harris's plan didn't work out all that well.,@Bishops1414,9/1/2024 11:58
Haha Democrats you have now forged a god,@csonracsonra9962,9/1/2024 11:58
"So let me get this straight, the secret service is afraid to put people on a slanted roof, but they're not afraid to put people in front of bullets.",@AdlerFrank-fg8fu,9/1/2024 11:58
There are mental patients (democrats) that insist it was all fake online right now.,@nunyabusiness3920,9/1/2024 11:58
Barack Obama we don't need the purpose of more security tools a media because of your keyboard circumstances with the military and we don't need Donald Trump just saying he's going to die like this,@user-ch2jl6rc2j,8/31/2024 11:58
What was the video and who in it,@lIlllllllIle75678llllIlIlll,8/31/2024 11:58
I wanna know if thats joanne or not,@lIlllllllIle75678llllIlIlll,8/31/2024 11:58
Him chanting “FIGHT” was legendary,@rusva3755,8/31/2024 11:58
It's weird that I can't find this clip in  4k/HD anywhere.,@icpeanut,8/31/2024 11:58
"Total ""leopards ate my face"" moment.",@kingbugs3558,8/30/2024 11:58
Folks.. please don't even reply to the fake comments on here. These are from accounts that will all soon be banned for putting out propaganda. They were created by very sick people.,@ccc0909,8/30/2024 11:58
Looked staged to me,@mickyzzzeee,8/30/2024 11:58
This was fake. He wasn't shot.,@jakovs7199,8/30/2024 11:58
"There is no proof he was wounded let alone shot in the ear.  And, there is no evidence that this was a politically motivated assassination attempt.  

This is better titled: the moments round a mass shooting at a Trump rally.",@alangrosenheider9654,8/30/2024 11:58
"Secret service be like, ""Who's making popcorn?""",@MUDSWAT,8/30/2024 11:58
Insane,@TheCartographeraoe,8/30/2024 11:58
Real question though? What the guy in the green floppy hat did? Did President Trump gave him credit just for his encuragement or what? Genuinely asking!,@GjergjiKoleka,8/30/2024 11:58
"Am I the only one who thinks the little movement at the moment of the shot actually moved into the trajectory of the bullet?  

Sort of the opposite of what everyone is saying.",@catfishman1768,8/30/2024 11:58
Omg,@Jayla-873,8/30/2024 11:58
I fell bad for trump :(,@gonaranaountaomapandijr.9275,8/29/2024 11:58
It sure looks staged the way the smallest agent was in front so we could still see the buffoon's face.,@ValiantGarton,8/29/2024 11:58
"Reminds me of the Blues Brothers, with John Belishi and Dan Aykroyd.",@Finley67,8/29/2024 11:58
"He didn't get hit with a bullet from an AR15 there would be a LOT more damage. I carried an M-14 in Vietnam and they swapped it out for an M16. The damage is severe. Not some maxi pad on his ear and 'Poof!' its miraculously  healed.  He wouldn't have a head.
Was ""dR. Ronny Johnson/ Jackson his attending physician? Really credible source . Yeah, right. 

He either got somebody else's blood on him OR he carried some blood in a condom in his pocket. He put it on his ear when he ducked behind the podium. Something about his shoes and asking where they were to his SS agents. Apparently he wears 3 inch lifts. another illusion shattered 
s/",@17ReasonsWhyProductions,8/29/2024 11:58
Bro he's invisibable 0:33,@mariolover6479,8/29/2024 11:58
,@susanshipanik336,8/29/2024 11:58
Bro is getting fired ,@Rickroll100x,8/28/2024 11:58
,@NithinJayakody-tl3mz,8/28/2024 11:58
"Americans should vote for Trump for this show of Absolute courage, if not for anything else. 

""Fight!...Fight!... Fight!""...right after being shot?

I choose to interpret this to mean that Americans must Fight to Make America Great Again at whatever cost! Power belongs to the People.",@A-saysitasitis,8/28/2024 11:58
Trump planned this and smeared ketchup on his ear.,@GMAN95120,8/28/2024 11:58
"Disappointed in secret service agents !!! This should have never happened! 
Your job is to serve and protect !!! 
NOT LET ONE BULLET HIT MR. TRUMP!!!
VERY DISAPPOINTED IN DELAY REACTIONS ON PROTECTION!!!
IT LOOKS AS IF SECRET SERVICE AGENTS DO MOT TAKE PROTECTING WHOM
THEY ARE SUPPOSED TO AS SERIOUS AS THEY SHOULD NOW DAYS!!!!! MY OPINION!!!!",@TammyVance50,8/28/2024 11:58
Disgraceful,@NAGZE,8/28/2024 11:58
BRO WHY DID HE LOOK LIKE HE DIDNT GIVE A SHIT,@JAYYY60977,8/28/2024 11:58
The moment he made history. ,@hushmahmouth8857,8/27/2024 11:58
And he then said it was his ear lobe. Liars cannot keep their lies straight.;,@tabo01,8/27/2024 11:58
Still hard to believe,@youngrepublican7202,8/27/2024 11:58
Harris is done,@robertgunner6676,8/27/2024 11:58
That was so stupid audience literally watched the sniper set it up and didn’t say anything,@ashleythompson8749,8/27/2024 11:58
Righteousness vs BLACK ROCK lol,@subhanmominrijal3881,8/27/2024 11:58
That's not very demure of the sniper,@Alex_Official4493,8/27/2024 11:58
That shit is so faked,@Lortagreb,8/26/2024 11:58
Who shot him,@Blue-qe2yw,8/25/2024 11:58
The security came out of nowhere ,@Onceler__671,8/25/2024 11:58
Glad he’s ok,@liamwilson12345,8/25/2024 11:58
so fake. i cant wait until it happens for real ,@JessicaWilson-blueraspberry,8/25/2024 11:58
7 shots more than one shoter,@user-ev7gc2by3e,8/25/2024 11:58
INWESTYCJE ,@Caba993,8/25/2024 11:58
GET DOWN MR PRESIDENT,@TheHoneredSorcerer,8/24/2024 11:58
Does anyone think more than one person wanted to do this,@Flumpty_bumpty_egg,8/24/2024 11:58
YouTube is censoring this video.,@Wifgargfhaurh,8/24/2024 11:58
"And nobody cares, what a world we live in",@BoratVoiceMyWife,8/24/2024 11:58
ALL OF PORTLAND OREGON SUPPORTS YOU MR. PRESIDENT TRUMP !!!!! YOUR BAD ASS !!!!! ,@dropoutandretireearly1781,8/24/2024 11:58
